disaster_id,name_local,name_international,type,subtype,date_start,date_year,date_month,date_end,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,total_damage
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Narsing,Typhoon Ivan,Typhoon,"Heavy rains, Flooding",1997-10-25,1997,10,,"49,048","243,896",14,8,,"1,779","13,771",252.84,188.94,,
TropicalCyclone_1997-08-18_TyphoonIbiang,Typhoon Ibiang,Typhoon Winnie,Typhoon,"Heavy rains, Flooding, Lahar flow",1997-08-18,1997,08,1997-08-19,"304,327","1,521,125",36,11,2,272,"6,379","280,694.00","172,478.00",,
Earthquake_1999-12-12_LuzonEarthquake,1999 Luzon Earthquake,1999 Luzon Earthquake,Earthquake,Aftershocks,1999-12-12,1999,12,,87,356,5,40,,49,,,,1.79,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,1991,6,,"249,371","1,180,132",850,184,23,"40,867","67,862","2,096.00","3,832.00",852.20,
TropicalCyclone_1984-08-31_TyphoonNitang,Typhoon Nitang,Typhoon Ike,Typhoon,"Heavy rains, Flooding",1984-08-31,1984,08,1984-09-04,"278,488","1,686,624","1,029","2,861",464,"108,219","142,653","2,062.60","1,425.80",597.40,
TropicalCyclone_2008-06-29_TyphoonFrank,Typhoon Frank,Typhoon Fengshen,Typhoon,"Heavy rains, Flooding",2008-06-29,2008,06,,"718,457","3,622,958",540,175,41,"76,098","225,544","5,200.00","1,600.00",,
Flooding_2005-12-01,,,Flooding,"Flooding, Mass Movement, Breaching",2005-12-01,2005,12,,"42,843","192,946",3,,,29,47,,,,
Flooding_1999-12-23,,,Flooding,"Continuous Rains, Flooding, Mass Movements",1999-12-23,1999,12,,"1,550","7,750",8,,,,,,,,
Flooding_1999-01-01,,,Flooding,"Heavy rains, Mass Movement",1999-01-01,1999,01,,"101,398","476,137",20,2,2,834,,86.08,47.60,,
TropicalCyclone_2001-07-02_TyphoonFeria,Typhoon Feria,Severe Tropical Storm Utor,Tropical Cyclone,,2001-07-02,2001,07,2001-07-07,"415,379","1,902,413",188,241,44,"12,774","39,174","1,349.10","1,854.12",383.26,
Human-InducedHazard_1899-12-31,,,Human-Induced Hazard,,1899-12-31,1899,12,,"12,381","60,853",34,,23,410,287,659.50,59.00,,
Flooding_1995,,,Flooding,,1900-02-02,1900,02,,"133,530","736,900",86,2,9,"12,845","64,662",356.56,229.32,,
RedTide_1995,,,Red Tide,,1995,1995,,,,,,,,,,,,,
Infestation_1995_Locust,,,Infestation (Locust),Locust,1995,1995,,,,,,,,,,,,,
Mass Movement_1995,,,Mass Movement,,1995,1995,,,522,"2,191",20,5,3,15,,,,,
Drought_1995,,,Drought,,1995,1995,,,"66,665","332,953",,,,,,562.46,,,
Tornado_1995,,,Tornado,,1995,1995,,,145,734,,,,5,,,,,
Epidemic_1995_FootandMouthDisease,,,Epidemic (Food and Mouth Disease),Food and Mouth DIsease,1995,1995,,,,,,,,,,,,,
Earthquake_1995,,,Earthquake,,1995,1995,,,67,398,,,8,,,,26.50,,
VolcanicHazard_1995_Lahar,,,Volcanic Hazard,Lahar,1995,1995,,,,,,,,,,,,,
Drought_1995-01-09,,,Drought,,1995-01-09,1995,01,,"13,103","65,515",0,0,0,0,0,,,,0.10
Flooding_1995-01-15,,,Flooding,,1995-01-15,1995,01,1995-01-17,,,6,,,34,,,,,0.16
Flooding_1995-01-20,,,Flooding,,1995-01-20,1995,01,,,,5,,,,,,,,0.03
Human-InducedHazard_1995_CivilDisturbances,,,Human-Induced Hazard,Civil Disturbances,1995,1995,,,"1,516","6,346",75,234,2,,,,,,500.00
Human-InducedHazard_1995_Bomb/GrenadeExplosions,,,Human-Induced Hazard,Bomb/Grenade explosions,1995,1995,,,,,38,127,41,,,,,,
Human-InducedHazard_1995_ShootingIncidents,,,Human-Induced Hazard,Shooting incidents,1995,1995,,,,,39,22,,,,,,,
Human-InducedHazard_1995_VehicularAccidents,,,Human-Induced Hazard,Vehicular Accidents,1995,1995,,,,,48,113,,,,,,,
Human-InducedHazard_1995_TillingPondCollapse,,,Human-Induced Hazard,Tilling Pond Collapse,1995,1995,,,,,12,,8,,,,,,
Human-InducedHazard_1995_SeaMishaps,,,Human-Induced Hazard,Sea Mishaps,1995,1995,,,,,1,,2,,,,,,
Fire_1995,,,Fire,Fire Incidents,1995,1995,,,"5,298","27,470",150,86,32,792,10,,,,922.83
Human-InducedHazard_1995_CollapsedBridges,,,Human-Induced Hazard,Collapsed Bridges,1995,1995,,,,,3,27,,,,,,,
Epidemic_1995_Leptospirosis,,,Epidemic,Leptospirosis,1995,1995,,,,,11,,,,,,,,
Typhoon_1899-12-31_TyphoonGading,Typhoon Gading,Typhoon Peggy,Tropical Cyclone,,1986-07-06,1986,07,1986-07-10,"142,050","730,357",106,16,13,,,369.63,299.81,9.05,678.49
