disaster_id,name_int,name_local,type,subtype,date_start,date_end,year,month,psgc,ph_psgc,municity,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,damage_total
TropicalCyclone_1997-08-18_TyphoonIbiang,Typhoon Winnie,Typhoon Ibiang,Tropical Cyclone,"Heavy rains, Flooding, Lahar flow",1997-08-18,1997-08-19,1997,08,130000000,PH130000000,NCR,,,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137602000,PH137602000,City of Makati,403,2015,3,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137401000,PH137401000,City of Mandaluyong,275,1647,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137402000,PH137402000,City of Marikina,54,324,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137601000,PH137601000,Las Pinas City,886,4430,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137404000,PH137404000,Quezon City,3000,15000,3,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,133900000,PH133900000,City of Manila,30,180,3,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137403000,PH137403000,City of Pasig,239,1195,,,,6,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137604000,PH137604000,Paranaque,7230,36150,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137501000,PH137501000,Caloocan City,14370,70759,3,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137605000,PH137605000,Pasay ,4581,22773,2,,2,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137502000,PH137502000,Malabon,3021,16005,1,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137504000,PH137504000,Valenzuela City,1994,9970,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137405000,PH137405000,San Juan,1123,5252,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137606000,PH137606000,Pateros,20,120,,,,,,,,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,137607000,PH137607000,Taguig,737,3685,4,4,,,,,,,
