disaster_id,name_int,name_local,type,subtype,date_start,date_end,date_year,date_month,psgc,ph_psgc,province,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,damage_total
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10,148100000,PH148100000,Apayao,0,0,0,0,0,12,710,5.19,7.90,,
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10,143200000,PH143200000,Kalinga,1128,5640,0,0,0,0,4,2.84,15.14,,
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10,012800000,PH012800000,Ilocos Norte,362,1222,0,0,0,0,0,0.30,1.70,,
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10,021500000,PH021500000,Cagayan,32163,154149,13,7,2,911,11078,188.59,91.42,,
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10,023100000,PH023100000,Isabela,15395,82885,1,1,0,856,1979,55.93,72.78,,
TropicalCyclone_1997-05-02_TyphoonBining,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,035400000,PH035400000,Pampanga,14,55,,,,,,,,,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,030800000,PH030800000,Bataan,9143,35952,11,5,,1920,4972,2096.00,3832.00,852.20,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,031400000,PH031400000,Bulacan,,,3,,,,,,,,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,034900000,PH034900000,Nueva Ecija,79,373,,,,,,,,,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,035400000,PH035400000,Pampanga,134355,632252,246,17,10,6402,13879,,,,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,036900000,PH036900000,Tarlac,15719,85532,144,,,2228,527,,,,
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1991,06,037100000,PH037100000,Zambales,56396,15719,283,134,8,18396,18504,,,,
