disaster_id,name_int,name_local,type,subtype,date_start,date_end,date_year,date_month
TropicalCyclone_1997-10-25_TyphoonNarsing,Typhoon Ivan,Typhoon Narsing,Tropical Cyclone,"Heavy rains, Flooding",1997-10-25,,1997,10
TropicalCyclone_1997-08-18_TyphoonIbiang,Typhoon Winnie,Typhoon Ibiang,Tropical Cyclone,"Heavy rains, Flooding, Lahar flow",1997-08-18,1997-08-19,1997,10
Earthquake_1999-12-12_LuzonEarthquake,1999 Luzon Earthquake,1999 Luzon Earthquake,Earthquake,Aftershocks,1999-12-12,,1997,10
VolcanicHazard_1991-06-15,Mount Pinatubo Volcanic Eruption,Mount Pinatubo Volcanic Eruption,Volcanic Hazard,"Lahar, Flooding, Occasional Phreatic Explosions, Earthquakes, Diseases",1991-06-15,,1997,10
TropicalCyclone_1984-08-31_TyphoonNitang,Typhoon Ike,Typhoon Nitang,Tropical Cyclone,"Heavy rains, Flooding",1984-08-31,1984-09-04,1997,10
TropicalCyclone_2008-06-29_TyphoonFrank,Typhoon Fengshen,Typhoon Frank,Tropical Cyclone,"Heavy rains, Flooding",2008-06-29,,1997,10
Flooding_2005-12-01,,,Flooding,"Flooding, Mass Movement, Breaching",2005-12-01,,1997,10
Flooding_1999-12-23,,,Flooding,"Continuous Rains, Flooding, Mass Movements",1999-12-23,,1997,10
Flooding_1999-01-01,,,Flooding,"Heavy rains, Mass Movement",1999-01-01,,1997,10
TropicalCyclone_2001-07-02_TyphoonFeria,Severe Tropical Storm Utor,Typhoon Feria,Tropical Cyclone,,2001-07-02,2001-07-07,1997,10
Human-InducedHazard_1899-12-31,,,Human-Induced Hazard,,1899-12-31,,1997,10
Flooding_1995,,,Flooding,,1900-02-02,,1997,10
RedTide_1995,,,Red Tide,,1995,,1997,10
Infestation_1995_Locust,,,Infestation,Locust,1995,,1997,10
Mass Movement_1995,,,Mass Movement,,1995,,1997,10
Drought_1995,,,Drought,,1995,,1997,10
Tornado_1995,,,Tornado,,1995,,1997,10
Epidemic_1995_FootandMouthDisease,,,Epidemic,Food and Mouth DIsease,1995,,1997,10
Earthquake_1995,,,Earthquake,,1995,,1997,10
VolcanicHazard_1995_Lahar,,,Volcanic Hazard,Lahar,1995,,1997,10
Drought_1995-01-09,,,Drought,,1995-01-09,,1997,10
Flooding_1995-01-15,,,Flooding,,1995-01-15,1995-01-17,1997,10
Flooding_1995-01-20,,,Flooding,,1995-01-20,,1997,10
Human-InducedHazard_1995_CivilDisturbances,,,Human-Induced Hazard,Civil Disturbances,1995,,1997,10
Human-InducedHazard_1995_Bomb/GrenadeExplosions,,,Human-Induced Hazard,Bomb/Grenade explosions,1995,,1997,10
Human-InducedHazard_1995_ShootingIncidents,,,Human-Induced Hazard,Shooting incidents,1995,,1997,10
